cyp,metric,score
BOM_1A2,jac_bond_som,0.2
BOM_1A2,f1s_bond_som,0.3333333333333333
BOM_1A2,apc_bond_som,0.1862441666054431
BOM_2A6,jac_bond_som,0.0842696629213483
BOM_2A6,f1s_bond_som,0.155440414507772
BOM_2A6,apc_bond_som,0.0672373923868662
BOM_2B6,jac_bond_som,0.0602739726027397
BOM_2B6,f1s_bond_som,0.1136950904392764
BOM_2B6,apc_bond_som,0.0457863793036821
BOM_2C8,jac_bond_som,0.0878048780487804
BOM_2C8,f1s_bond_som,0.1614349775784753
BOM_2C8,apc_bond_som,0.0902857382402453
BOM_2C9,jac_bond_som,0.217877094972067
BOM_2C9,f1s_bond_som,0.3577981651376146
BOM_2C9,apc_bond_som,0.2156059215053291
BOM_2C19,jac_bond_som,0.2359550561797752
BOM_2C19,f1s_bond_som,0.3818181818181818
BOM_2C19,apc_bond_som,0.2999171069187064
BOM_2D6,jac_bond_som,0.2091836734693877
BOM_2D6,f1s_bond_som,0.3459915611814346
BOM_2D6,apc_bond_som,0.2336976328956373
BOM_2E1,jac_bond_som,0.1075268817204301
BOM_2E1,f1s_bond_som,0.1941747572815534
BOM_2E1,apc_bond_som,0.0678681532896863
BOM_3A4,jac_bond_som,0.3414634146341463
BOM_3A4,f1s_bond_som,0.5090909090909091
BOM_3A4,apc_bond_som,0.4300872864237242
CYP_REACTION,jac_bond_som,0.3696027633851468
CYP_REACTION,f1s_bond_som,0.5397225725094578
CYP_REACTION,apc_bond_som,0.5231703679665093
CYP_REACTION_max,jac_bond_som,0.361003861003861
CYP_REACTION_max,f1s_bond_som,0.5304964539007092
CYP_REACTION_max,apc_bond_som,0.5041345501653439
