cyp,metric,score
BOM_1A2,jac_bond_som,0.21443094159120485
BOM_1A2,f1s_bond_som,0.3530085694357382
BOM_1A2,apc_bond_som,0.23867342600450386
BOM_2A6,jac_bond_som,0.11113133179017623
BOM_2A6,f1s_bond_som,0.19832382612380933
BOM_2A6,apc_bond_som,0.10517291886922972
BOM_2B6,jac_bond_som,0.0976051652706013
BOM_2B6,f1s_bond_som,0.17756723081026693
BOM_2B6,apc_bond_som,0.08540223729951579
BOM_2C8,jac_bond_som,0.15406933483684968
BOM_2C8,f1s_bond_som,0.2666372839837789
BOM_2C8,apc_bond_som,0.1465911311607737
BOM_2C9,jac_bond_som,0.20532818441237194
BOM_2C9,f1s_bond_som,0.34047387903223136
BOM_2C9,apc_bond_som,0.19981211026985374
BOM_2C19,jac_bond_som,0.2761462514230395
BOM_2C19,f1s_bond_som,0.43264789556953404
BOM_2C19,apc_bond_som,0.2864228448955881
BOM_2D6,jac_bond_som,0.253615670004629
BOM_2D6,f1s_bond_som,0.40460423201924556
BOM_2D6,apc_bond_som,0.31800034099173596
BOM_2E1,jac_bond_som,0.23924908424908425
BOM_2E1,f1s_bond_som,0.3849642644936762
BOM_2E1,apc_bond_som,0.3107487809809243
BOM_3A4,jac_bond_som,0.3849386742891846
BOM_3A4,f1s_bond_som,0.555794300511939
BOM_3A4,apc_bond_som,0.5320690158238406
CYP_REACTION,jac_bond_som,0.44196340734844897
CYP_REACTION,f1s_bond_som,0.612716377317189
CYP_REACTION,apc_bond_som,0.6332467629515844
CYP_REACTION_max,jac_bond_som,0.44538115702027553
CYP_REACTION_max,f1s_bond_som,0.615985717409248
CYP_REACTION_max,apc_bond_som,0.6324748634342959
